Identifier,Remark,Identifier,default,ru
(Column,,,,
is,Tabs size for this file: 4.,,,
unused),,,,
," ""ZCGlobal.Log()"" and all of its derivatives overrides next colors placeholders:",,,
,"    '\c-' is a ""LLCOLOR_MAIN""      (default user messages color, usually gray);",,,
,"    '\c!' is a ""LLCOLOR_WARNING""   (yellow);",,,
,"    '\c~' is a ""LLCOLOR_DARK""      (darkgray).",,,
,,,,
,,,,
, === General and core ===,,,
,,,,
,Commons:,,,
,Used for the auto-updating of the cached localized strings.,ZCHECKER_CURLANGUAGE,en,ru
,,ZCHECKER_GREETINGS_SUCCESS,"ZChecker v%s initialized successfully. Total %i console commands, %i info panels.","ZChecker %s успешно инициализирован; всего %i консольных команд, %i составляющих инфопанелей."
,,ZCHECKER_GREETINGS_WARNINGS,"ZChecker v%s initialized \c!with warnings\c-. Total %i console commands, %i info panels.","Во время инициализации ZChecker %s \c!возникли неполадки\c-; всего %i консольных команд, %i составляющих инфопанелей."
,,,,
,,ZCHECKER_CCMDSHELP_USAGE,Usage,Использование
,,ZCHECKER_CCMDSHELP_TIPS,Tips,Советы
,,ZCHECKER_CCMDSHELP_EXAMPLES,Examples,Примеры
,,ZCHECKER_CCMDS_DANGERALLOWEDWARN,Warning,Предупреждение
,,ZCHECKER_LOG_EMERGENCY_PREFIX,[ZChecker emergency],
,,,,
,,ZCHECKER_MAPTITLE_EVERYTHING_SIMPLE,ZChecker: Everything (simple),ZChecker: Everything (упрощённая)
,,ZCHECKER_MAPTITLE_EVERYTHING_ALT1,ZChecker: Everything (alternative),ZChecker: Everything (альтернативная)
,,,,
,Network events intercepting:,,,
,,ZCHECKER_NETEVENTINTC_NETEVENT,Netevent,Netevent
,,ZCHECKER_NETEVENTINTC_MANUAL,Manual,Ручной вызов
,,ZCHECKER_NETEVENTINTC_SYSTEM,System,Системный вызов
,,ZCHECKER_NETEVENTINTC_TIMEAT,at,", время"
,,ZCHECKER_NETEVENTINTC_FROMPLAYER,from player #,от игрока #
,,,,
,,,,
,,,,
, === Menus ===,,,
,,,,
,,ZCHECKER_MAINMENU_TITLE,ZChecker settings,Настройки ZChecker
,,ZCHECKER_OPTIONSMENU_ZCHANDLER_ERROR,\cxError\ci: ZChecker cannot be initialized.\n\ciSee more info in the options menu above.,"\cxОшибка\ci: ZChecker не может быть запущен.\n\ciБольше информации есть в меню, расположенном выше."
,,,,
,,ZCHECKER_MAINMENU_ZCHANDLER_ERROR,"\cf---- ===== \cxERROR \cf===== ----\n\cxCannot locate ZChecker static event handler;\n\cxZChecker cannot be launched properly\ci.\n\n\ciPossible reason: usage of the \cu""\crEventHandlers = ...\cu""\n\cu(\cinot \cu""\cqAddEventHandlers = ...\cu"") \ciin some \ccMAPINFO\ci lump\n\cifor the engine versions before GZDoom 4.8.0.","\cf---- ===== \cxОШИБКА \cf===== ----\n\cxНе удаётся обнаружить ZChecker static event handler;\n\cxневозможно верно запустить ZChecker\ci.\n\n\ciВероятная причина: использование \cu""\crEventHandlers = ...\cu""\n\cu(\ciне \cu""\cqAddEventHandlers = ...\cu"") \ciв каком-то из \ccMAPINFO\n\ciдля версий движка ниже GZDoom 4.8.0."
,,ZCHECKER_MAINMENU_DIV_GENERAL,General categories,Основные категории
,,ZCHECKER_MAINMENU_INFOPANELS,Information panel settings,Настройки инфопанелей
,,ZCHECKER_MAINMENU_CCMDS,Call console command [WIP],Вызов консольных команд [WIP]
,,ZCHECKER_MAINMENU_EVMAP,"""Everything"" map settings","Опции карт ""Everything"""
,,ZCHECKER_MAINMENU_VISUAL,HUD & visual settings,Настройки отображения
,,ZCHECKER_MAINMENU_OPEN_MENU_KEY,Open this menu,Открыть данное меню
,,ZCHECKER_MAINMENU_OPENINFOPANELS,Open infopanels menu,Открыть меню инфопанелей
,,ZCHECKER_MAINMENU_OPENCCMDS,Open CCMD call menu,Открыть меню вызова команд
,,ZCHECKER_MAINMENU_OPENEVMAP,"Open ""Everything"" map settings","Открыть меню карт ""Everything"""
,,ZCHECKER_MAINMENU_OPENVISUAL,Open visual settings menu,Открыть меню настроек отображения
,,,,
,,ZCHECKER_MAINMENU_DIV_OTHER,Other settings,Другие настройки
,,ZCHECKER_MAINMENU_DIV_HOTKEYS,Hotkeys,Горячие клавиши
,,ZCHECKER_MAINMENU_NETEVENTS,Netevent info intercepting,Перехват Netevents
,,ZCHECKER_MAINMENU_NETEVENTS_TIP,Try to obtain information from network events.,Перехватывает информацию с сетевых событий.
,,ZCHECKER_MAINMENU_ALLOWDANGEROUS,Allow dangerous actions,Разрешить опасные действия
,,ZCHECKER_MAINMENU_ALLOWDANGEROUS_TIP,Allow operations that are known to crash the game.,"Действия, при обычных условиях всегда ломающие игровой движок."
,,ZCHECKER_MAINMENU_ZCADDTWICE,Repeated actor addition handling,Поведение при дублировании указателя
,,ZCHECKER_MAINMENU_ZCADDTWICE_TIP1,"Behaviour when using ""zcadd"" on an actor which","Поведение при использовании команд вроде ""zcadd"" на акторе,"
,,ZCHECKER_MAINMENU_ZCADDTWICE_TIP2,is already present in the information panels list.,который уже присутствует в инфопанелях.
,,ZCHECKER_MAINMENU_SPECIALHANDLING,Disable ZC classes special handling,Отключить особую обработку ZC-классов
,,ZCHECKER_MAINMENU_SPECIALHANDLING_TIP1,Do not alter handling for the special,Не изменять способ обработки для
,,ZCHECKER_MAINMENU_SPECIALHANDLING_TIP2,ZChecker actors and classes.,внутренних акторов и классов ZChecker.
,,ZCHECKER_MAINMENU_LOGLEVEL,Log level,Уровень журналирования
,,ZCHECKER_MAINMENU_LOGLEVEL_TIP,Will be updated within 5 world tics.,Будет обновлён в течение пяти игровых тактов.
,,,,
,,ZCHECKER_MAINMENUOPT_LOGLEVEL_MAIN,1. General,1. Минимальный
